amfi_code,date,nav
119092,2026-07-31,6251.94330
119092,2026-07-30,6249.57050
119092,2026-07-29,6248.79850
119092,2026-07-28,6248.48210
119092,2026-07-27,6246.94830
119092,2026-07-24,6242.16520
119092,2026-07-23,6240.58180
119092,2026-07-22,6238.70280
119092,2026-07-21,6238.78440
119092,2026-07-20,6235.28040
119092,2026-07-17,6234.11500
119092,2026-07-16,6230.80270
119092,2026-07-15,6228.09390
119092,2026-07-14,6227.14160
119092,2026-07-13,6230.57910
119092,2026-07-10,6228.93810
119092,2026-07-09,6227.98630
119092,2026-07-08,6224.34560
119092,2026-07-07,6227.85160
119092,2026-07-06,6231.47600
119092,2026-07-03,6229.02360
119092,2026-07-02,6229.44220
119092,2026-07-01,6225.51600
119092,2026-06-30,6220.83730
119092,2026-06-29,6217.31240
119092,2026-06-25,6209.19070
119092,2026-06-24,6204.47700
119092,2026-06-23,6200.85110
119092,2026-06-22,6199.48710
119092,2026-06-19,6195.78150
119092,2026-06-18,6194.65200
119092,2026-06-17,6193.35040
119092,2026-06-16,6191.81200
119092,2026-06-15,6187.82230
119092,2026-06-12,6181.81480
119092,2026-06-11,6179.19960
119092,2026-06-10,6181.79670
119092,2026-06-09,6180.66850
119092,2026-06-08,6174.20840
119092,2026-06-05,6168.47550
119092,2026-06-04,6160.94340
119092,2026-06-03,6159.96260
119092,2026-06-02,6158.96650
119092,2026-06-01,6156.75320
119092,2026-05-29,6151.11390
119092,2026-05-27,6146.61180
119092,2026-05-26,6144.00040
119092,2026-05-25,6144.84780
119092,2026-05-22,6142.63800
119092,2026-05-21,6142.88080
119092,2026-05-20,6147.58560
119092,2026-05-19,6149.75980
119092,2026-05-18,6148.48470
119092,2026-05-15,6148.30160
119092,2026-05-14,6148.93610
119092,2026-05-13,6150.12570
119092,2026-05-12,6150.50760
119092,2026-05-11,6151.86710
119092,2026-05-08,6151.37070
119092,2026-05-07,6149.90980
119092,2026-05-06,6149.03070
119092,2026-05-05,6146.00010
119092,2026-05-04,6145.70490
119092,2026-04-30,6140.16140
119092,2026-04-29,6141.87990
119092,2026-04-28,6143.00100
119092,2026-04-27,6142.59020
119092,2026-04-24,6142.20180
119092,2026-04-23,6141.96030
119092,2026-04-22,6143.36630
119092,2026-04-21,6142.96010
119092,2026-04-20,6142.25370
119092,2026-04-17,6139.23510
119092,2026-04-16,6139.70040
119092,2026-04-15,6137.69620
119092,2026-04-13,6133.40710
119092,2026-04-10,6129.76740
119092,2026-04-09,6126.15440
119092,2026-04-08,6119.12430
119092,2026-04-07,6110.18340
119092,2026-04-06,6107.33460
119092,2026-04-02,6104.72640
119092,2026-03-31,6102.51310
119092,2026-03-30,6101.38580
119092,2026-03-27,6095.18590
119092,2026-03-25,6090.54100
119092,2026-03-24,6089.20450
119092,2026-03-23,6090.16010
119092,2026-03-20,6093.52610
119092,2026-03-18,6093.85860
119092,2026-03-17,6089.09930
119092,2026-03-16,6086.34340
119092,2026-03-13,6083.61970
119092,2026-03-12,6087.11200
119092,2026-03-11,6088.34040
119092,2026-03-10,6086.65160
119092,2026-03-09,6085.22880
119092,2026-03-06,6084.29620
119092,2026-03-05,6082.39270
119092,2026-03-04,6081.05890
119092,2026-03-02,6081.76400
119092,2026-02-27,6079.91950
119092,2026-02-26,6078.81230
119092,2026-02-25,6077.58860
119092,2026-02-24,6076.17580
119092,2026-02-23,6074.63880
119092,2026-02-20,6071.65710
119092,2026-02-18,6069.76700
119092,2026-02-17,6069.70630
119092,2026-02-16,6069.37830
119092,2026-02-13,6066.86400
119092,2026-02-12,6063.70500
119092,2026-02-11,6061.12040
119092,2026-02-10,6058.86430
119092,2026-02-09,6057.50320
119092,2026-02-06,6054.96860
119092,2026-02-05,6055.74490
119092,2026-02-04,6053.33130
119092,2026-02-03,6050.77330
119092,2026-02-02,6047.21590
119092,2026-01-30,6043.78380
119092,2026-01-29,6041.31730
119092,2026-01-28,6040.78420
119092,2026-01-27,6041.49770
119092,2026-01-23,6037.64530
119092,2026-01-22,6037.50600
119092,2026-01-21,6034.62460
119092,2026-01-20,6033.43290
119092,2026-01-19,6033.56390
119092,2026-01-16,6031.76390
119092,2026-01-14,6031.49900
119092,2026-01-13,6030.99530
119092,2026-01-12,6031.23290
119092,2026-01-09,6028.45910
119092,2026-01-08,6028.08600
119092,2026-01-07,6028.38460
119092,2026-01-06,6028.72710
119092,2026-01-05,6027.69050
119092,2026-01-02,6025.26800
119092,2026-01-01,6024.71870
119092,2025-12-31,6023.54540
119092,2025-12-30,6020.39880
119092,2025-12-29,6020.51720
119092,2025-12-26,6017.72270
119092,2025-12-24,6015.99440
119092,2025-12-23,6013.82670
119092,2025-12-22,6012.96350
119092,2025-12-19,6009.93470
119092,2025-12-18,6008.95020
119092,2025-12-17,6007.89020
119092,2025-12-16,6007.20350
