amfi_code,date,nav
118632,2026-08-17,101.64050
118632,2026-08-14,101.99030
118632,2026-08-13,102.22330
118632,2026-08-12,102.34150
118632,2026-08-11,102.73440
118632,2026-08-10,102.89220
118632,2026-08-07,102.76300
118632,2026-08-06,102.97770
118632,2026-08-05,103.04430
118632,2026-08-04,102.99090
118632,2026-08-03,103.66310
118632,2026-07-31,101.81330
118632,2026-07-30,101.55630
118632,2026-07-29,101.42650
118632,2026-07-28,100.23740
118632,2026-07-27,100.44980
118632,2026-07-24,99.32730
118632,2026-07-23,99.72940
118632,2026-07-22,100.09970
118632,2026-07-21,101.06690
118632,2026-07-20,101.32290
118632,2026-07-17,101.80200
118632,2026-07-16,101.05860
118632,2026-07-15,101.02310
118632,2026-07-14,100.53260
118632,2026-07-13,101.24950
118632,2026-07-10,101.32030
118632,2026-07-09,100.30860
118632,2026-07-08,99.81000
118632,2026-07-07,101.93210
118632,2026-07-06,102.12670
118632,2026-07-03,101.35990
118632,2026-07-02,101.44420
118632,2026-07-01,100.89650
118632,2026-06-30,100.48280
118632,2026-06-29,100.71840
118632,2026-06-25,101.19170
118632,2026-06-24,101.03870
118632,2026-06-23,100.46050
118632,2026-06-22,101.36540
118632,2026-06-19,100.78240
118632,2026-06-18,100.99010
118632,2026-06-17,100.60400
118632,2026-06-16,100.00480
118632,2026-06-15,99.35060
118632,2026-06-12,98.17760
118632,2026-06-11,96.17120
118632,2026-06-10,96.58620
118632,2026-06-09,96.68490
118632,2026-06-08,95.89520
118632,2026-06-05,97.24560
118632,2026-06-04,97.26210
118632,2026-06-03,97.21670
118632,2026-06-02,97.47830
118632,2026-06-01,97.19440
118632,2026-05-29,98.46560
118632,2026-05-27,99.80920
118632,2026-05-26,99.43560
118632,2026-05-25,99.80470
118632,2026-05-22,98.74970
118632,2026-05-21,98.37810
118632,2026-05-20,98.39330
118632,2026-05-19,98.12890
118632,2026-05-18,97.93720
118632,2026-05-15,98.00590
118632,2026-05-14,98.06060
118632,2026-05-13,97.16900
118632,2026-05-12,97.18460
118632,2026-05-11,99.20070
118632,2026-05-08,100.49810
118632,2026-05-07,101.29170
118632,2026-05-06,101.17250
118632,2026-05-05,99.90720
