amfi_code,scheme_name,fund_house,category,expense_ratio_pct,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,max_dd_peak_date,max_dd_trough_date,scorecard_score,scorecard_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1.46,0.20360678307711866,0.3400091602163293,0.3097410750185903,1.4482911703262602,2.385644373368819,0.2698375144191807,0.023683558075848616,-0.11265729075028275,2023-07-11,2023-10-20,85.89743589743588,1
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,1.36,0.29604659337893646,0.317775371512347,0.3282740607461121,1.1801011976606492,2.0293529404657464,0.2926358334175106,0.000549004250631731,-0.18188513572116294,2024-10-24,2025-01-23,81.7948717948718,2
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.45,0.26657081760850154,0.2958277033726251,0.3090745475400549,1.3067439695428407,2.364320032166718,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,2022-03-07,2022-04-13,81.53846153846153,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,1.38,0.5323239623092084,0.32442459421956116,0.3012315310072722,1.0936987435346308,1.8291339615146944,0.2719535450128533,0.005103525830528313,-0.16217208574644848,2022-03-11,2022-05-12,80.25641025641023,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.8,0.13064279264417977,0.3248742855621496,0.2329511862010305,1.0265242847993001,1.8052937940992546,0.2119482701352573,0.016232169761417024,-0.12588275606922517,2022-10-04,2023-05-30,79.48717948717949,5
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,0.22261065131342206,0.35111802096428524,0.2821441719365203,0.9982309868636414,1.7037974802463003,0.2607666908004223,-0.0662654286280376,-0.20960883862039192,2022-04-14,2022-08-11,76.41025641025642,6
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.54,0.6043734071403091,0.3045652442030289,0.25804686425584,1.208266567372718,2.140267129061794,0.23201007160635082,-0.03175144113890976,-0.1501238549864533,2023-08-24,2024-02-05,74.16666666666667,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,1.6,0.3975176148971702,0.2917890157839378,0.3194952310833252,1.2349300257743299,2.146913926346056,0.2827036785246582,0.01813388408385925,-0.1639674294693263,2023-08-10,2023-10-20,73.01282051282051,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.6,0.4792412023860102,0.2896769452874166,0.2353836133468803,1.0272133278753697,1.7995628746984524,0.21399784776051212,0.02108631625012804,-0.11291596329323073,2023-04-24,2023-07-05,67.37179487179486,9
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.43,0.8277605861507404,0.2666992200118774,0.32423536152454613,0.9453082575156094,1.6753165700125519,0.3033696538698332,-0.02319606204405971,-0.2870600572176455,2024-08-28,2025-05-14,66.53846153846153,10
