Date,Scheme_Code,Scheme_Name,NAV,Fund_House,Scheme_Category
2013-01-02,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.0059,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-03,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.0306,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-04,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.0619,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-07,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.1408,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-08,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.1663,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-09,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.1897,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-10,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.2132,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-11,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.2385,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-14,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.3225,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-15,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,102.9223,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-16,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,102.9421,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-17,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,102.9691,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-18,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,102.9932,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-21,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.0662,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-22,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.0909,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-23,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.1145,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-24,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.1411,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-28,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.2351,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-29,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,102.9384,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-30,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,102.959,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-01-31,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,102.9778,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-01,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,102.9976,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-04,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.0659,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-05,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.0886,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-06,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.1119,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-07,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.1356,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-08,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.1594,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-11,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.2303,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-12,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.2523,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-13,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.2745,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-14,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.2937,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-15,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,102.9522,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-18,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.0229,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-20,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.0725,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-21,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.0965,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-22,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.1226,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-25,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.1919,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-26,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.2097,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
2013-02-27,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,103.2322,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund
