Date,Scheme_Code,Scheme_Name,NAV,Fund_House,Scheme_Category
2013-05-28,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,9.9992,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-05-29,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10.008,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-05-30,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10.0327,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-05-31,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10.0154,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-06-03,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10.0572,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-06-04,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10.0339,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-06-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10.0273,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-06-06,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10.0328,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-06-07,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10.0235,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-06-10,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,9.9957,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-06-11,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,9.954,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-06-12,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,9.9288,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-06-13,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,9.9118,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-06-14,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,9.9549,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-06-17,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,9.9818,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-06-18,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,9.9964,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
2013-06-19,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10.0085,PPFAS Mutual Fund,Equity Scheme - Flexi Cap Fund
