Date,Scheme_Code,Scheme_Name,NAV,Fund_House,Scheme_Category
2012-12-31,119092,HDFC Money Market Fund - Growth Option - Direct Plan,23.992,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-01,119092,HDFC Money Market Fund - Growth Option - Direct Plan,23.9979,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-02,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0036,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-03,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0092,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-04,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0147,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-06,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0258,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-07,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0314,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-08,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0369,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-09,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0424,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-10,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0479,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-11,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0534,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-13,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0643,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-14,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0698,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-15,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0754,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-16,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0809,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-17,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0863,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-18,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.0918,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-20,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.1028,HDFC Mutual Fund,Debt Scheme - Money Market Fund
2013-01-21,119092,HDFC Money Market Fund - Growth Option - Direct Plan,24.1084,HDFC Mutual Fund,Debt Scheme - Money Market Fund
