Date,Scheme_Code,Scheme_Name,NAV,Fund_House,Scheme_Category
2013-01-07,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6076,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-08,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6239,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-09,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6492,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-10,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6784,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-11,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6305,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-14,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6862,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-15,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6993,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-16,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6804,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-17,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6565,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-18,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.658,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-21,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6574,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-22,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6627,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-23,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6688,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-24,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6574,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-25,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6611,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-28,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6878,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-29,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.674,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-30,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6441,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-01-31,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6763,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-01,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.7201,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-04,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.7231,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-05,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6673,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-06,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.7067,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-07,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6882,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-08,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6813,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-11,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.5643,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-12,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6846,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-13,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.693,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-14,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.648,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-15,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6442,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-18,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6588,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-19,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6778,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-20,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.7038,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-21,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6841,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-22,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.6784,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-25,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.8655,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-26,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.8517,quant Mutual Fund,Equity Scheme - Mid Cap Fund
2013-02-27,120841,quant Mid Cap Fund - Growth Option - Direct Plan,30.8692,quant Mutual Fund,Equity Scheme - Mid Cap Fund
