Date,Scheme_Code,Scheme_Name,NAV,Fund_House,Scheme_Category
2013-01-02,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.3806,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-03,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.5633,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-04,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.3232,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-07,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.3559,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-08,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.3307,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-09,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.3552,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-10,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.2598,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-11,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.2784,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-14,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.193,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-15,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.2095,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-16,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.2443,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-17,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.1735,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-18,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.1561,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-21,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.1493,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-22,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.2431,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-23,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.2687,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-24,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.1755,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-25,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.1416,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-28,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.1134,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-29,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.0829,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-30,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.0488,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-01-31,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.1032,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-02-01,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.1084,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-02-04,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.1311,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-02-05,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.268,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-02-06,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.1707,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-02-07,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.1726,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-02-08,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.1731,Nippon India Mutual Fund,Other Scheme - FoF Domestic
2013-02-11,118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,14.1418,Nippon India Mutual Fund,Other Scheme - FoF Domestic
